Stock Ticker,Market Cap,Stock Price,Sector,Industry
NVDA,4532882500000.0,188.85,N/A,SEMICONDUCTORS & RELATED DEVICES
AAPL,4017099326580.0,271.01,N/A,ELECTRONIC COMPUTERS
GOOG,3786624600000.0,315.32,N/A,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
GOOGL,3776971000000.0,315.15,N/A,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
MSFT,3594446481511.1,472.94,N/A,SERVICES-PREPACKAGED SOFTWARE
AMZN,2467515659659.02,226.5,N/A,RETAIL-CATALOG & MAIL-ORDER HOUSES
META,1663775061503.73,650.41,N/A,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
AVGO,1640954861833.9001,347.62,N/A,SEMICONDUCTORS & RELATED DEVICES
TSLA,1495687395783.24,438.07,N/A,MOTOR VEHICLES & PASSENGER CAR BODIES
WMT,887956301459.24,112.76,N/A,RETAIL-VARIETY STORES
PLTR,423655809079.5,167.86,N/A,SERVICES-PREPACKAGED SOFTWARE
NFLX,397719571708.80005,90.99,N/A,SERVICES-VIDEO TAPE RENTAL
COST,382766347881.74,854.5,N/A,RETAIL-VARIETY STORES
AMD,348661376206.4,223.47,N/A,SEMICONDUCTORS & RELATED DEVICES
MU,321231598182.01,315.42,N/A,SEMICONDUCTORS & RELATED DEVICES
CSCO,304352814187.89,76.04,N/A,COMPUTER COMMUNICATIONS EQUIPMENT
APP,227720838100.00003,618.32,N/A,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
TMUS,227101585343.03998,199.58,N/A,RADIOTELEPHONE COMMUNICATIONS
LRCX,215007215400.0,185.06,N/A,"SPECIAL INDUSTRY MACHINERY, NEC"
SHOP,209557650808.15,157.2,N/A,SERVICES-PREPACKAGED SOFTWARE
AMAT,203778515628.34,268.87,N/A,SEMICONDUCTORS & RELATED DEVICES
ISRG,200772395904.28,561.98,N/A,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
LIN,199102354262.69998,429.11,N/A,INDUSTRIAL INORGANIC CHEMICALS
PEP,196240654309.44,142.23,N/A,BEVERAGES
